ticker,description,currency,fund_type,url,sector
IUCD.L,iShares S&P 500 Consumer Discretionary,USD,eq,,Sector - Consumer Discretionary
IUMS.L,iShares S&P 500 Materials Sector,USD,eq,,Sector - Materials
IUSU.L,iShares S&P 500 Utilities Sector,USD,eq,,Sector - Utilities
XRES.L,Invesco S&P 500 Real Estate Sector,USD,eq,,Sector - Real Estate
ESIF.L,iShares MSCI Europe Financials Sector,EUR,eq,,Sector - Financials
ESIE.L,iShares MSCI Europe Energy Sector,EUR,eq,,Sector - Energy
ESIN.L,iShares MSCI Europe Industrials Sector,EUR,eq,,Sector - Industrials
ESIT.L,iShares MSCI Europe IT Sector,EUR,eq,,Sector - Technology
ESIC.L,iShares MSCI Europe Consumer Discretionary,EUR,eq,,Sector - Consumer Discretionary
IWVL.L,iShares Edge MSCI World Value Factor,USD,eq,,Factor - Value
IUVL.L,iShares Edge MSCI USA Value Factor,USD,eq,,Factor - Value
IEVL.L,iShares Edge MSCI Europe Value Factor,EUR,eq,,Factor - Value
IWQU.L,iShares Edge MSCI World Quality Factor,USD,eq,,Factor - Quality
IUQA.L,iShares Edge MSCI USA Quality Factor,USD,eq,,Factor - Quality
IWMO.L,iShares Edge MSCI World Momentum Factor,USD,eq,,Factor - Momentum
IUMF.L,iShares Edge MSCI USA Momentum Factor,USD,eq,,Factor - Momentum
MVOL.L,iShares Edge MSCI World Min Volatility,USD,eq,,Factor - Low Vol
IEFS.L,iShares Edge MSCI Europe Size Factor,EUR,eq,,Factor - Size
IFSW.L,iShares World Equity Multi-Factor,USD,eq,,Factor - Multi
R1GB.L,iShares Russell 1000 Growth,USD,eq,,Factor - Growth
USDV.L,SPDR S&P US Dividend Aristocrats,USD,eq,,Factor - Dividend
UKDV.L,SPDR S&P UK Dividend Aristocrats,GBP,eq,,Factor - Dividend
WQDS.L,iShares MSCI World Quality Dividend,USD,eq,,Factor - Dividend
IDVY.L,iShares Euro Dividend,EUR,eq,,Factor - Dividend
XZDW.L,Xtrackers MSCI World High Dividend Yield,USD,eq,,Factor - Dividend
IUSP.L,iShares US Property Yield,USD,eq,,Sector - Real Estate
SMGB.L,iShares MSCI USA Small Cap,GBP,eq,,Equity - US Small Cap
TIP,Tips Bond,USD,bonds-il,,Bond - TIPS
SOXX,iShares Semiconductor ETF,USD,eq,,Thematic - Semiconductors
XME,SPDR S&P Metals & Mining ETF,USD,eq,,Sector - Mining
EWT,MSCI Taiwan,USD,eq,,Equity - Taiwan
XLB,Materials Select Sector SPDR Fund,USD,eq,,Sector - Materials
AGIX,KraneShares Artificial Intelligence & Technology ETF,USD,eq,,Thematic - AI
FNDE,Schwab Fundamental Emerging Markets Large Company ETF,USD,eq,,Equity - EM
EWM,MSCI Malaysia,USD,eq,,Equity - Asia Pacific
DVYE,iShares Emerging Markets Dividend ETF,USD,eq,,Equity - EM
EFG,iShares MSCI EAFE Growth ETF,USD,eq,,Equity - Developed Markets
XOP,SPDR S&P Oil & Gas Exploration & Production ETF,USD,eq,,Sector - Energy
VGK,Vanguard FTSE Europe ETF,USD,eq,,Equity - Europe
WTAI,WisdomTree Artificial Intelligence and Innovation Fund,USD,eq,,Thematic - AI
EFV,iShares MSCI EAFE Value ETF,USD,eq,,Equity - Developed Markets
VEA,Vanguard FTSE Developed Markets ETF,USD,eq,,Equity - Developed Markets
EEMV,iShares MSCI Emerging Markets Min Vol Factor ETF,USD,eq,,Factor - Low Vol
IXUS,iShares Core MSCI Total International Stock ETF,USD,eq,,Equity - Global
XLY,Consumer Discretionary Select Sector SPDR Fund,USD,eq,,Sector - Consumer Discretionary
KWEB,KraneShares CSI China Internet ETF,USD,eq,,Equity - China
VNQ,Vanguard Real Estate ETF,USD,eq,,Sector - Real Estate
EWQ,MSCI France,USD,eq,,Equity - Europe
VPL,Vanguard FTSE Pacific ETF,USD,eq,,Equity - Asia Pacific
XLU,Utilities Select Sector SPDR Fund,USD,eq,,Sector - Utilities
XLI,Industrial Select Sector SPDR Fund,USD,eq,,Sector - Industrials
XHB,SPDR S&P Homebuilders ETF,USD,eq,,Sector - Homebuilders
IJR,iShares Core S&P Small-Cap ETF,USD,eq,,Equity - US Small Cap
RSP,Invesco S&P 500 Equal Weight ETF,USD,eq,,Equity - US Large Cap
IYT,iShares Transportation Average ETF,USD,eq,,Sector - Transport
XLE,Energy Select Sector SPDR Fund,USD,eq,,Sector - Energy
XLF,Financial Select Sector SPDR Fund,USD,eq,,Sector - Financials
KRE,SPDR S&P Regional Banking ETF,USD,eq,,Sector - Financials
USMV,iShares MSCI USA Min Vol Factor ETF,USD,eq,,Factor - Low Vol
XLV,Health Care Select Sector SPDR Fund,USD,eq,,Sector - Healthcare
XLP,Consumer Staples Select Sector SPDR Fund,USD,eq,,Sector - Consumer Staples
XBI,SPDR S&P Biotech ETF,USD,eq,,Sector - Biotech
IGV,iShares Expanded Tech-Software Sector ETF,USD,eq,,Sector - Software
CIBR,First Trust NASDAQ Cybersecurity ETF,USD,eq,,Thematic - Cybersecurity
CSPX.L,iShares Core S&P 500 UCITS ETF USD Acc,USD,eq,,Equity - US Large Cap
IWDA.L,iShares Core MSCI World UCITS ETF USD Acc,USD,eq,,Equity - Global
EIMI.L,iShares Core MSCI EM IMI UCITS ETF,USD,eq,,Equity - EM
IJPA.L,iShares MSCI Japan UCITS ETF,USD,eq,,Equity - Japan
VEUR.L,Vanguard FTSE Developed Europe UCITS ETF,GBP,eq,,Equity - Europe
PHGP.L,WisdomTree Physical Gold GBP,GBP,commod,,Commodity - Gold
PHSP.L,WisdomTree Physical Silver GBP,GBP,commod,,Commodity - Silver
SGLN.L,iShares Physical Gold ETC,GBP,commod,,Commodity - Gold
IGIL.L,iShares Global Inflation Linked Govt Bond UCITS ETF,USD,bonds-il,,Bond - Global Linkers
IAU,iShares Gold Trust,USD,commod,,Commodity - Gold
SLV,iShares Silver Trust,USD,commod,,Commodity - Silver
SIL,Global X Silver Miners ETF,USD,eq,,Sector - Mining
PDBC,Invesco Optimum Yield Diversified Commodity Strategy No K-1 ETF,USD,commod,,Commodity - Broad
IGF,iShares Global Infrastructure ETF,USD,eq,,Sector - Infrastructure
TLT,iShares 20+ Year Treasury Bond ETF,USD,bonds,,Bond - US Treasury
