COIN,Coinbase,USD,stock,,Financials
CL,Colgate-Palmolive,USD,stock,,Consumer Staples
CMCSA,Comcast,USD,stock,,Communication
FIX,Comfort Systems USA,USD,stock,,Industrials
CAG,Conagra Brands,USD,stock,,Consumer Staples
COP,ConocoPhillips,USD,stock,,Energy
ED,Consolidated Edison,USD,stock,,Utilities
STZ,Constellation Brands,USD,stock,,Consumer Staples
CEG,Constellation Energy,USD,stock,,Utilities
COO,Cooper Companies (The),USD,stock,,Healthcare
CPRT,Copart,USD,stock,,Industrials
GLW,Corning Inc.,USD,stock,,Technology
CPAY,Corpay,USD,stock,,Financials
CTVA,Corteva,USD,stock,,Materials
CSGP,CoStar Group,USD,stock,,Real Estate
COST,Costco,USD,stock,,Consumer Staples
CTRA,Coterra,USD,stock,,Energy
CRH,CRH plc,USD,stock,,Materials
CRWD,CrowdStrike,USD,stock,,Technology
CCI,Crown Castle,USD,stock,,Real Estate
CSX,CSX Corporation,USD,stock,,Industrials
CMI,Cummins,USD,stock,,Industrials
CVS,CVS Health,USD,stock,,Healthcare
DHR,Danaher Corporation,USD,stock,,Healthcare
DRI,Darden Restaurants,USD,stock,,Consumer Discretionary
DDOG,Datadog,USD,stock,,Technology
DVA,DaVita,USD,stock,,Healthcare
DECK,Deckers Brands,USD,stock,,Consumer Discretionary
DE,Deere & Company,USD,stock,,Industrials
DELL,Dell Technologies,USD,stock,,Technology
DAL,Delta Air Lines,USD,stock,,Industrials
DVN,Devon Energy,USD,stock,,Energy
DXCM,Dexcom,USD,stock,,Healthcare
FANG,Diamondback Energy,USD,stock,,Energy
DLR,Digital Realty,USD,stock,,Real Estate
DG,Dollar General,USD,stock,,Consumer Staples
DLTR,Dollar Tree,USD,stock,,Consumer Staples
D,Dominion Energy,USD,stock,,Utilities
DPZ,Domino's,USD,stock,,Consumer Discretionary
DASH,DoorDash,USD,stock,,Consumer Discretionary
DOV,Dover Corporation,USD,stock,,Industrials
DOW,Dow Inc.,USD,stock,,Materials
DHI,D. R. Horton,USD,stock,,Consumer Discretionary
DTE,DTE Energy,USD,stock,,Utilities
DUK,Duke Energy,USD,stock,,Utilities
DD,DuPont,USD,stock,,Materials
ETN,Eaton Corporation,USD,stock,,Industrials
EBAY,eBay Inc.,USD,stock,,Consumer Discretionary
ECL,Ecolab,USD,stock,,Materials
EIX,Edison International,USD,stock,,Utilities
EW,Edwards Lifesciences,USD,stock,,Healthcare
EA,Electronic Arts,USD,stock,,Communication
ELV,Elevance Health,USD,stock,,Healthcare
EME,Emcor,USD,stock,,Industrials
EMR,Emerson Electric,USD,stock,,Industrials
ETR,Entergy,USD,stock,,Utilities
EOG,EOG Resources,USD,stock,,Energy
EPAM,EPAM Systems,USD,stock,,Technology
EQT,EQT Corporation,USD,stock,,Energy
EFX,Equifax,USD,stock,,Industrials
EQIX,Equinix,USD,stock,,Real Estate
EQR,Equity Residential,USD,stock,,Real Estate
ERIE,Erie Indemnity,USD,stock,,Financials
ESS,Essex Property Trust,USD,stock,,Real Estate
EL,Estée Lauder Companies (The),USD,stock,,Consumer Staples
EG,Everest Group,USD,stock,,Financials
EVRG,Evergy,USD,stock,,Utilities
ES,Eversource Energy,USD,stock,,Utilities
EXC,Exelon,USD,stock,,Utilities
EXE,Expand Energy,USD,stock,,Energy
EXPE,Expedia Group,USD,stock,,Consumer Discretionary
EXPD,Expeditors International,USD,stock,,Industrials
EXR,Extra Space Storage,USD,stock,,Real Estate
XOM,ExxonMobil,USD,stock,,Energy
FFIV,"F5, Inc.",USD,stock,,Technology
FDS,FactSet,USD,stock,,Financials
FICO,Fair Isaac,USD,stock,,Technology
FAST,Fastenal,USD,stock,,Industrials
FRT,Federal Realty Investment Trust,USD,stock,,Real Estate
FDX,FedEx,USD,stock,,Industrials
FIS,Fidelity National Information Services,USD,stock,,Financials
FITB,Fifth Third Bancorp,USD,stock,,Financials
FSLR,First Solar,USD,stock,,Technology
FE,FirstEnergy,USD,stock,,Utilities
FISV,Fiserv,USD,stock,,Financials
F,Ford Motor Company,USD,stock,,Consumer Discretionary
FTNT,Fortinet,USD,stock,,Technology
FTV,Fortive,USD,stock,,Industrials
FOXA,Fox Corporation (Class A),USD,stock,,Communication
FOX,Fox Corporation (Class B),USD,stock,,Communication
BEN,Franklin Resources,USD,stock,,Financials
FCX,Freeport-McMoRan,USD,stock,,Materials
GRMN,Garmin,USD,stock,,Consumer Discretionary
IT,Gartner,USD,stock,,Technology
GE,GE Aerospace,USD,stock,,Industrials
GEHC,GE HealthCare,USD,stock,,Healthcare
GEV,GE Vernova,USD,stock,,Industrials
GEN,Gen Digital,USD,stock,,Technology
GNRC,Generac,USD,stock,,Industrials
GD,General Dynamics,USD,stock,,Industrials
GIS,General Mills,USD,stock,,Consumer Staples
GM,General Motors,USD,stock,,Consumer Discretionary
GPC,Genuine Parts Company,USD,stock,,Consumer Discretionary
GILD,Gilead Sciences,USD,stock,,Healthcare
GPN,Global Payments,USD,stock,,Financials
GL,Globe Life,USD,stock,,Financials
GDDY,GoDaddy,USD,stock,,Technology
GS,Goldman Sachs,USD,stock,,Financials
HAL,Halliburton,USD,stock,,Energy
HIG,Hartford (The),USD,stock,,Financials
HAS,Hasbro,USD,stock,,Consumer Discretionary
HCA,HCA Healthcare,USD,stock,,Healthcare
DOC,Healthpeak Properties,USD,stock,,Real Estate
HSIC,Henry Schein,USD,stock,,Healthcare
HSY,Hershey Company (The),USD,stock,,Consumer Staples
HPE,Hewlett Packard Enterprise,USD,stock,,Technology
HLT,Hilton Worldwide,USD,stock,,Consumer Discretionary
HOLX,Hologic,USD,stock,,Healthcare
HD,Home Depot (The),USD,stock,,Consumer Discretionary
HON,Honeywell,USD,stock,,Industrials
HRL,Hormel Foods,USD,stock,,Consumer Staples
HST,Host Hotels & Resorts,USD,stock,,Real Estate
HWM,Howmet Aerospace,USD,stock,,Industrials
HPQ,HP Inc.,USD,stock,,Technology
HUBB,Hubbell Incorporated,USD,stock,,Industrials
HUM,Humana,USD,stock,,Healthcare
HBAN,Huntington Bancshares,USD,stock,,Financials
HII,Huntington Ingalls Industries,USD,stock,,Industrials
IBM,IBM,USD,stock,,Technology
IEX,IDEX Corporation,USD,stock,,Industrials
IDXX,Idexx Laboratories,USD,stock,,Healthcare
ITW,Illinois Tool Works,USD,stock,,Industrials
INCY,Incyte,USD,stock,,Healthcare
IR,Ingersoll Rand,USD,stock,,Industrials
PODD,Insulet Corporation,USD,stock,,Healthcare
INTC,Intel,USD,stock,,Technology
