"and we'll check it for you.","","","",""
"Date","Description","Type","In (£)","Out (£)"
"15 Oct 25","S BEGANOVIC","TFR","4.90",""
"15 Oct 25","S BEGANOVIC","TFR","130.30",""
"15 Oct 25","S BEGANOVIC","TFR","165.00",""
"14 Oct 25","TK MAXX","DEB","39.99",""
"06 Oct 25","TK MAXX","DEB","36.99",""
"06 Oct 25","HUNTINGDON","DEB","4.00",""
"02 Oct 25","CLUB LLOYDS WAIVED","DEP","5.00",""
"02 Oct 25","RENTAL PAYMENT","FPI","857.97",""
"01 Oct 25","INTEREST (GROSS)","","7.20",""
"01 Oct 25","JUSTPARK PARKING L","BGC","243.39",""
"23 Sep 25","JUSTPARK PARKING L","BGC","442.85",""
"17 Sep 25","JUSTPARK PARKING L","BGC","146.95",""
"16 Sep 25","S BEGANOVIC","TFR","665.70",""
"16 Sep 25","S BEGANOVIC","TFR","129.87",""
"16 Sep 25","S BEGANOVIC","TFR","165.00",""
"15 Sep 25","FR-5608783","TFR","0.02",""
"15 Sep 25","FR-5608783","TFR","44.00",""
"15 Sep 25","FR-5608783","TFR","44.00",""
"11 Sep 25","JUSTPARK PARKING L","BGC","332.22",""
"02 Sep 25","CLUB LLOYDS WAIVED","DEP","5.00",""
"01 Sep 25","INTEREST (GROSS)","","6.77",""
"01 Sep 25","RENTAL PAYMENT","FPI","412.74",""
