"and we'll check it for you.","","","",""
"Date","Description","Type","In (£)","Out (£)"
"28 Aug 25","JUSTPARK PARKING L","BGC","568.65",""
"27 Aug 25","JUSTPARK PARKING L","BGC","128.04",""
"20 Aug 25","JUSTPARK PARKING L","BGC","113.05",""
"15 Aug 25","S BEGANOVIC","TFR","4.90",""
"15 Aug 25","S BEGANOVIC","TFR","129.55",""
"15 Aug 25","S BEGANOVIC","TFR","165.00",""
"15 Aug 25","JUSTPARK PARKING L","BGC","178.48",""
"13 Aug 25","JUSTPARK PARKING L","BGC","135.80",""
"12 Aug 25","Brompton Bicycle L","DEB","1.00",""
"12 Aug 25","JUSTPARK PARKING L","BGC","139.68",""
"11 Aug 25","SENSE HUNTINGDON","DEB","4.50",""
"07 Aug 25","JUSTPARK PARKING L","BGC","63.05",""
"06 Aug 25","JUSTPARK PARKING L","BGC","87.30",""
"05 Aug 25","JUSTPARK PARKING L","BGC","109.63",""
"04 Aug 25","CLUB LLOYDS WAIVED","DEP","5.00",""
"04 Aug 25","WWW.HSAMUEL.CO.UK","DEB","182.75",""
"04 Aug 25","WWW.HSAMUEL.CO.UK","DEB","148.75",""
"01 Aug 25","INTEREST (GROSS)","","7.21",""
"01 Aug 25","YOURPARKINGSPACE L","FPI","669.32",""
"31 Jul 25","JUSTPARK PARKING L","BGC","155.20",""
"29 Jul 25","JUSTPARK PARKING L","BGC","87.30",""
